三菱電機,NV32-SV,breaker,AC100-440V,"5,10,15,20,30,32A",-,-,漏電遮断器(ELCB)NV-Sクラス(汎用品)高調波・サージ対応形。フレーム32A。極数2P/3P。定格感度電流30mA(高速形、15/30mA切換品や100/200/500mA切換品あり、注2)。モータ保護用(NV・MB)ではない標準形。総合カタログ(ブレーカー分割)P.48「2.1仕様一覧表4」より
三菱電機,NV63-SV,breaker,AC100-440V,"5,10,15,20,30,40,50,60,63A",-,-,漏電遮断器(ELCB)NV-Sクラス(汎用品)高調波・サージ対応形。フレーム63A。極数2P/3P。定格感度電流30mA(高速形、15/30mA切換品や100/200/500mA切換品あり、注2)。モータ保護用(NV・MB)ではない標準形。総合カタログ(ブレーカー分割)P.48「2.1仕様一覧表4」より
三菱電機,NV125-SV,breaker,AC100-440V/AC200-440V,-,-,-,漏電遮断器(ELCB)NV-Sクラス(汎用品)高調波・サージ対応形。熱動-電磁式引きはずし。フレーム100A/125A。定格感度電流は100/200/500mA切換品(注2)。定格使用電圧は仕様により100-440Vまたは200-440V。定格電流の詳細な段階対応はpdfの表構造が複雑で正確に特定できないため空欄(要現物ラベル/取扱説明書確認)。総合カタログ(ブレーカー分割)P.49「2.1仕様一覧表4」より
三菱電機,NV125-SEV,breaker,AC100-440V,-,-,-,漏電遮断器(ELCB)NV-Sクラス(汎用品)高調波・サージ対応形。電子式(実効値検出)引きはずし。フレーム100A/125A。定格感度電流は100/200/500mA切換品(注2)。定格電流の詳細な段階対応はpdfの表構造が複雑で正確に特定できないため空欄(要現物ラベル/取扱説明書確認)。総合カタログ(ブレーカー分割)P.49「2.1仕様一覧表4」より
三菱電機,NV250-SV,breaker,AC100-440V/AC200-440V,-,-,-,漏電遮断器(ELCB)NV-Sクラス(汎用品)高調波・サージ対応形。熱動-電磁式引きはずし。フレーム225A/250A。定格感度電流は100/200/500mA切換品(注2)。定格使用電圧は仕様により100-440Vまたは200-440V。定格電流の詳細な段階対応はpdfの表構造が複雑で正確に特定できないため空欄(要現物ラベル/取扱説明書確認)。総合カタログ(ブレーカー分割)P.49「2.1仕様一覧表4」より
三菱電機,NV250-SEV,breaker,AC100-440V,-,-,-,漏電遮断器(ELCB)NV-Sクラス(汎用品)高調波・サージ対応形。電子式(実効値検出)引きはずし。フレーム250A。定格感度電流は100/200/500mA切換品(注2)。定格電流の詳細な段階対応はpdfの表構造が複雑で正確に特定できないため空欄(要現物ラベル/取扱説明書確認)。総合カタログ(ブレーカー分割)P.49「2.1仕様一覧表4」より
三菱電機,NV400-SW,breaker,690V,-,-,-,漏電遮断器(ELCB)NV-Sクラス(汎用品)高調波・サージ対応形。フレーム400A。定格電流・定格感度電流の詳細な段階対応はpdfの表構造が複雑で正確に特定できないため空欄(要現物ラベル/取扱説明書確認)。総合カタログ(ブレーカー分割)P.50「2.1仕様一覧表4」より
三菱電機,NV400-SEW,breaker,690V,-,-,-,漏電遮断器(ELCB)NV-Sクラス(汎用品)高調波・サージ対応形。電子式(実効値検出)引きはずし。フレーム400A。定格電流・定格感度電流の詳細な段階対応はpdfの表構造が複雑で正確に特定できないため空欄(要現物ラベル/取扱説明書確認)。総合カタログ(ブレーカー分割)P.50「2.1仕様一覧表4」より
三菱電機,NV630-SW,breaker,690V,-,-,-,漏電遮断器(ELCB)NV-Sクラス(汎用品)高調波・サージ対応形。フレーム600A/630A。定格電流・定格感度電流の詳細な段階対応はpdfの表構造が複雑で正確に特定できないため空欄(要現物ラベル/取扱説明書確認)。総合カタログ(ブレーカー分割)P.50「2.1仕様一覧表4」より
三菱電機,NV630-SEW,breaker,690V,-,-,-,漏電遮断器(ELCB)NV-Sクラス(汎用品)高調波・サージ対応形。電子式(実効値検出)引きはずし。フレーム630A。定格電流・定格感度電流の詳細な段階対応はpdfの表構造が複雑で正確に特定できないため空欄(要現物ラベル/取扱説明書確認)。総合カタログ(ブレーカー分割)P.50「2.1仕様一覧表4」より
三菱電機,NV800-SEW,breaker,690V,-,-,-,漏電遮断器(ELCB)NV-Sクラス(汎用品)高調波・サージ対応形。電子式(実効値検出)引きはずし。フレーム800A。定格電流・定格感度電流の詳細な段階対応はpdfの表構造が複雑で正確に特定できないため空欄(要現物ラベル/取扱説明書確認)。総合カタログ(ブレーカー分割)P.50「2.1仕様一覧表4」より
三菱電機,NV1000-SB,breaker,690V,-,-,-,漏電遮断器(ELCB)NV-Sクラス(汎用品)高調波・サージ対応形。フレーム1000A。定格電流・定格感度電流の詳細な段階対応はpdfの表構造が複雑で正確に特定できないため空欄(要現物ラベル/取扱説明書確認)。総合カタログ(ブレーカー分割)P.50「2.1仕様一覧表4」より
三菱電機,NV1200-SB,breaker,690V,-,-,-,漏電遮断器(ELCB)NV-Sクラス(汎用品)高調波・サージ対応形。フレーム1200A。定格電流・定格感度電流の詳細な段階対応はpdfの表構造が複雑で正確に特定できないため空欄(要現物ラベル/取扱説明書確認)。総合カタログ(ブレーカー分割)P.50「2.1仕様一覧表4」より
