三菱電機,MR-J5-10B,servo,AC200V,0.1kW,,-,SSCNETIII/H対応サーボアンプ。容量0.1kW。電気定格はMR-J5-10Gと同一(通信方式のみ相違)。総合カタログD-31ページ標準仕様表より。端子番号は総合カタログに記載なし(端子の語が無い)ため空欄。個別カタログ/取説が必要,三菱総合カタログ D-31,https://drive.google.com/file/d/1yCZn6vvo8gmxveaST5yn3Z9XzXH_CPva/view
三菱電機,MR-J5-20B,servo,AC200V,0.2kW,,-,SSCNETIII/H対応サーボアンプ。容量0.2kW。電気定格はMR-J5-20Gと同一。総合カタログD-31ページ標準仕様表より。端子番号は総合カタログに記載なし(端子の語が無い)ため空欄。個別カタログ/取説が必要,三菱総合カタログ D-31,https://drive.google.com/file/d/1yCZn6vvo8gmxveaST5yn3Z9XzXH_CPva/view
三菱電機,MR-J5-40B,servo,AC200V,0.4kW,,-,SSCNETIII/H対応サーボアンプ。容量0.4kW。電気定格はMR-J5-40Gと同一。総合カタログD-31ページ標準仕様表より。端子番号は総合カタログに記載なし(端子の語が無い)ため空欄。個別カタログ/取説が必要,三菱総合カタログ D-31,https://drive.google.com/file/d/1yCZn6vvo8gmxveaST5yn3Z9XzXH_CPva/view
三菱電機,MR-J5-60B,servo,AC200V,0.6kW,,-,SSCNETIII/H対応サーボアンプ。容量0.6kW。電気定格はMR-J5-60Gと同一。総合カタログD-31ページ標準仕様表より。端子番号は総合カタログに記載なし(端子の語が無い)ため空欄。個別カタログ/取説が必要,三菱総合カタログ D-31,https://drive.google.com/file/d/1yCZn6vvo8gmxveaST5yn3Z9XzXH_CPva/view
三菱電機,MR-J5-70B,servo,AC200V,0.75kW,,-,SSCNETIII/H対応サーボアンプ。容量0.75kW。電気定格はMR-J5-70Gと同一。総合カタログD-31ページ標準仕様表より。端子番号は総合カタログに記載なし(端子の語が無い)ため空欄。個別カタログ/取説が必要,三菱総合カタログ D-31,https://drive.google.com/file/d/1yCZn6vvo8gmxveaST5yn3Z9XzXH_CPva/view
三菱電機,MR-J5-100B,servo,AC200V,1kW,,-,SSCNETIII/H対応サーボアンプ。容量1kW。電気定格はMR-J5-100Gと同一。総合カタログD-31ページ標準仕様表より。端子番号は総合カタログに記載なし(端子の語が無い)ため空欄。個別カタログ/取説が必要,三菱総合カタログ D-31,https://drive.google.com/file/d/1yCZn6vvo8gmxveaST5yn3Z9XzXH_CPva/view
三菱電機,MR-J5-200B,servo,AC200V,2kW,,-,SSCNETIII/H対応サーボアンプ。容量2kW。電気定格はMR-J5-200Gと同一。総合カタログD-31ページ標準仕様表より。端子番号は総合カタログに記載なし(端子の語が無い)ため空欄。個別カタログ/取説が必要,三菱総合カタログ D-31,https://drive.google.com/file/d/1yCZn6vvo8gmxveaST5yn3Z9XzXH_CPva/view
三菱電機,MR-J5-350B,servo,AC200V,3.5kW,,-,SSCNETIII/H対応サーボアンプ。容量3.5kW。電気定格はMR-J5-350Gと同一。総合カタログD-31ページ標準仕様表より。端子番号は総合カタログに記載なし(端子の語が無い)ため空欄。個別カタログ/取説が必要,三菱総合カタログ D-31,https://drive.google.com/file/d/1yCZn6vvo8gmxveaST5yn3Z9XzXH_CPva/view
三菱電機,MR-J5-500B,servo,AC200V,5kW,,-,SSCNETIII/H対応サーボアンプ。容量5kW。電気定格はMR-J5-500Gと同一。総合カタログD-31ページ標準仕様表より。端子番号は総合カタログに記載なし(端子の語が無い)ため空欄。個別カタログ/取説が必要,三菱総合カタログ D-31,https://drive.google.com/file/d/1yCZn6vvo8gmxveaST5yn3Z9XzXH_CPva/view
三菱電機,MR-J5-700B,servo,AC200V,7kW,,-,SSCNETIII/H対応サーボアンプ。容量7kW。電気定格はMR-J5-700Gと同一。総合カタログD-31ページ標準仕様表より。端子番号は総合カタログに記載なし(端子の語が無い)ため空欄。個別カタログ/取説が必要,三菱総合カタログ D-31,https://drive.google.com/file/d/1yCZn6vvo8gmxveaST5yn3Z9XzXH_CPva/view
