三菱電機,FX3G-14MR/ES,,AC100-240V,-,-,-,三菱シーケンサMELSEC-FシリーズFX3G基本ユニット(CPUユニット)。入力8点/出力6点。電源AC100-240V。入力方式DC24V(シンク/ソース対応)。出力方式リレー出力(2A/1点・8A/4点コモン/AC250V(CE・UL/cUL対応時240V)・DC30V以下)。内蔵通信ポートRS-422・USB Mini-B各1ch。制御規模14~128点(基本ユニット14/24/40/60点、CC-Link・AnyWireASLINK・BittyシリーズのリモートI/O構成時256点)。品番の末尾記号:MR=リレー出力/MT=トランジスタ出力、ES=AC電源(出力シンク)/ESS=AC電源(出力ソース)/DS=DC電源(出力シンク)/DSS=DC電源(出力ソース)。入出力端子の詳細な番号(X0-Xn/Y0-Yn等)は機種・点数ごとに異なるため空欄。新規種別が必要(PLC用の種別コードが未定義のため備考に既存スキーマの代替として記載)。総合カタログ(三菱総合カタログ)B-69「シーケンサMELSEC-Fシリーズ FX3G」より
三菱電機,FX3G-14MT/ES,,AC100-240V,-,-,-,三菱シーケンサMELSEC-FシリーズFX3G基本ユニット(CPUユニット)。入力8点/出力6点。電源AC100-240V。入力方式DC24V(シンク/ソース対応)。出力方式トランジスタ出力シンク(0.5A/1点・0.8A/4点コモン/DC5~30V)。内蔵通信ポートRS-422・USB Mini-B各1ch。制御規模14~128点(基本ユニット14/24/40/60点、CC-Link・AnyWireASLINK・BittyシリーズのリモートI/O構成時256点)。品番の末尾記号:MR=リレー出力/MT=トランジスタ出力、ES=AC電源(出力シンク)/ESS=AC電源(出力ソース)/DS=DC電源(出力シンク)/DSS=DC電源(出力ソース)。入出力端子の詳細な番号(X0-Xn/Y0-Yn等)は機種・点数ごとに異なるため空欄。新規種別が必要(PLC用の種別コードが未定義のため備考に既存スキーマの代替として記載)。総合カタログ(三菱総合カタログ)B-69「シーケンサMELSEC-Fシリーズ FX3G」より
三菱電機,FX3G-14MT/ESS,,AC100-240V,-,-,-,三菱シーケンサMELSEC-FシリーズFX3G基本ユニット(CPUユニット)。入力8点/出力6点。電源AC100-240V。入力方式DC24V(シンク/ソース対応)。出力方式トランジスタ出力ソース(0.5A/1点・0.8A/4点コモン/DC5~30V)。内蔵通信ポートRS-422・USB Mini-B各1ch。制御規模14~128点(基本ユニット14/24/40/60点、CC-Link・AnyWireASLINK・BittyシリーズのリモートI/O構成時256点)。品番の末尾記号:MR=リレー出力/MT=トランジスタ出力、ES=AC電源(出力シンク)/ESS=AC電源(出力ソース)/DS=DC電源(出力シンク)/DSS=DC電源(出力ソース)。入出力端子の詳細な番号(X0-Xn/Y0-Yn等)は機種・点数ごとに異なるため空欄。新規種別が必要(PLC用の種別コードが未定義のため備考に既存スキーマの代替として記載)。総合カタログ(三菱総合カタログ)B-69「シーケンサMELSEC-Fシリーズ FX3G」より
三菱電機,FX3G-14MR/DS,,DC24V,-,-,-,三菱シーケンサMELSEC-FシリーズFX3G基本ユニット(CPUユニット)。入力8点/出力6点。電源DC24V。入力方式DC24V(シンク/ソース対応)。出力方式リレー出力(2A/1点・8A/4点コモン/AC250V(CE・UL/cUL対応時240V)・DC30V以下)。内蔵通信ポートRS-422・USB Mini-B各1ch。制御規模14~128点(基本ユニット14/24/40/60点、CC-Link・AnyWireASLINK・BittyシリーズのリモートI/O構成時256点)。品番の末尾記号:MR=リレー出力/MT=トランジスタ出力、ES=AC電源(出力シンク)/ESS=AC電源(出力ソース)/DS=DC電源(出力シンク)/DSS=DC電源(出力ソース)。入出力端子の詳細な番号(X0-Xn/Y0-Yn等)は機種・点数ごとに異なるため空欄。新規種別が必要(PLC用の種別コードが未定義のため備考に既存スキーマの代替として記載)。総合カタログ(三菱総合カタログ)B-69「シーケンサMELSEC-Fシリーズ FX3G」より
三菱電機,FX3G-14MT/DS,,DC24V,-,-,-,三菱シーケンサMELSEC-FシリーズFX3G基本ユニット(CPUユニット)。入力8点/出力6点。電源DC24V。入力方式DC24V(シンク/ソース対応)。出力方式トランジスタ出力シンク(0.5A/1点・0.8A/4点コモン/DC5~30V)。内蔵通信ポートRS-422・USB Mini-B各1ch。制御規模14~128点(基本ユニット14/24/40/60点、CC-Link・AnyWireASLINK・BittyシリーズのリモートI/O構成時256点)。品番の末尾記号:MR=リレー出力/MT=トランジスタ出力、ES=AC電源(出力シンク)/ESS=AC電源(出力ソース)/DS=DC電源(出力シンク)/DSS=DC電源(出力ソース)。入出力端子の詳細な番号(X0-Xn/Y0-Yn等)は機種・点数ごとに異なるため空欄。新規種別が必要(PLC用の種別コードが未定義のため備考に既存スキーマの代替として記載)。総合カタログ(三菱総合カタログ)B-69「シーケンサMELSEC-Fシリーズ FX3G」より
三菱電機,FX3G-14MT/DSS,,DC24V,-,-,-,三菱シーケンサMELSEC-FシリーズFX3G基本ユニット(CPUユニット)。入力8点/出力6点。電源DC24V。入力方式DC24V(シンク/ソース対応)。出力方式トランジスタ出力ソース(0.5A/1点・0.8A/4点コモン/DC5~30V)。内蔵通信ポートRS-422・USB Mini-B各1ch。制御規模14~128点(基本ユニット14/24/40/60点、CC-Link・AnyWireASLINK・BittyシリーズのリモートI/O構成時256点)。品番の末尾記号:MR=リレー出力/MT=トランジスタ出力、ES=AC電源(出力シンク)/ESS=AC電源(出力ソース)/DS=DC電源(出力シンク)/DSS=DC電源(出力ソース)。入出力端子の詳細な番号(X0-Xn/Y0-Yn等)は機種・点数ごとに異なるため空欄。新規種別が必要(PLC用の種別コードが未定義のため備考に既存スキーマの代替として記載)。総合カタログ(三菱総合カタログ)B-69「シーケンサMELSEC-Fシリーズ FX3G」より
三菱電機,FX3G-24MR/ES,,AC100-240V,-,-,-,三菱シーケンサMELSEC-FシリーズFX3G基本ユニット(CPUユニット)。入力14点/出力10点。電源AC100-240V。入力方式DC24V(シンク/ソース対応)。出力方式リレー出力(2A/1点・8A/4点コモン/AC250V(CE・UL/cUL対応時240V)・DC30V以下)。内蔵通信ポートRS-422・USB Mini-B各1ch。制御規模14~128点(基本ユニット14/24/40/60点、CC-Link・AnyWireASLINK・BittyシリーズのリモートI/O構成時256点)。品番の末尾記号:MR=リレー出力/MT=トランジスタ出力、ES=AC電源(出力シンク)/ESS=AC電源(出力ソース)/DS=DC電源(出力シンク)/DSS=DC電源(出力ソース)。入出力端子の詳細な番号(X0-Xn/Y0-Yn等)は機種・点数ごとに異なるため空欄。新規種別が必要(PLC用の種別コードが未定義のため備考に既存スキーマの代替として記載)。総合カタログ(三菱総合カタログ)B-69「シーケンサMELSEC-Fシリーズ FX3G」より
三菱電機,FX3G-24MT/ES,,AC100-240V,-,-,-,三菱シーケンサMELSEC-FシリーズFX3G基本ユニット(CPUユニット)。入力14点/出力10点。電源AC100-240V。入力方式DC24V(シンク/ソース対応)。出力方式トランジスタ出力シンク(0.5A/1点・0.8A/4点コモン/DC5~30V)。内蔵通信ポートRS-422・USB Mini-B各1ch。制御規模14~128点(基本ユニット14/24/40/60点、CC-Link・AnyWireASLINK・BittyシリーズのリモートI/O構成時256点)。品番の末尾記号:MR=リレー出力/MT=トランジスタ出力、ES=AC電源(出力シンク)/ESS=AC電源(出力ソース)/DS=DC電源(出力シンク)/DSS=DC電源(出力ソース)。入出力端子の詳細な番号(X0-Xn/Y0-Yn等)は機種・点数ごとに異なるため空欄。新規種別が必要(PLC用の種別コードが未定義のため備考に既存スキーマの代替として記載)。総合カタログ(三菱総合カタログ)B-69「シーケンサMELSEC-Fシリーズ FX3G」より
三菱電機,FX3G-24MT/ESS,,AC100-240V,-,-,-,三菱シーケンサMELSEC-FシリーズFX3G基本ユニット(CPUユニット)。入力14点/出力10点。電源AC100-240V。入力方式DC24V(シンク/ソース対応)。出力方式トランジスタ出力ソース(0.5A/1点・0.8A/4点コモン/DC5~30V)。内蔵通信ポートRS-422・USB Mini-B各1ch。制御規模14~128点(基本ユニット14/24/40/60点、CC-Link・AnyWireASLINK・BittyシリーズのリモートI/O構成時256点)。品番の末尾記号:MR=リレー出力/MT=トランジスタ出力、ES=AC電源(出力シンク)/ESS=AC電源(出力ソース)/DS=DC電源(出力シンク)/DSS=DC電源(出力ソース)。入出力端子の詳細な番号(X0-Xn/Y0-Yn等)は機種・点数ごとに異なるため空欄。新規種別が必要(PLC用の種別コードが未定義のため備考に既存スキーマの代替として記載)。総合カタログ(三菱総合カタログ)B-69「シーケンサMELSEC-Fシリーズ FX3G」より
三菱電機,FX3G-24MR/DS,,DC24V,-,-,-,三菱シーケンサMELSEC-FシリーズFX3G基本ユニット(CPUユニット)。入力14点/出力10点。電源DC24V。入力方式DC24V(シンク/ソース対応)。出力方式リレー出力(2A/1点・8A/4点コモン/AC250V(CE・UL/cUL対応時240V)・DC30V以下)。内蔵通信ポートRS-422・USB Mini-B各1ch。制御規模14~128点(基本ユニット14/24/40/60点、CC-Link・AnyWireASLINK・BittyシリーズのリモートI/O構成時256点)。品番の末尾記号:MR=リレー出力/MT=トランジスタ出力、ES=AC電源(出力シンク)/ESS=AC電源(出力ソース)/DS=DC電源(出力シンク)/DSS=DC電源(出力ソース)。入出力端子の詳細な番号(X0-Xn/Y0-Yn等)は機種・点数ごとに異なるため空欄。新規種別が必要(PLC用の種別コードが未定義のため備考に既存スキーマの代替として記載)。総合カタログ(三菱総合カタログ)B-69「シーケンサMELSEC-Fシリーズ FX3G」より
