三菱電機,UN-AX2,option,-,-,-,2a/1a1b/2b(選択式),補助接点増設ユニット(ヘッドオン取付、ツイン接点2極)。UT-AX2の大型フレーム対応版。適用電磁接触器:S-T65・T80/S-N38・N48/DU-N30等(UT-AX系より大きいフレーム、詳細はP.194適用機種一覧表参照)。端子番号はP.197参照。総合カタログ(電磁開閉器)P.192-194「8.オプションユニット」より
三菱電機,UN-AX4,option,-,-,-,4a/2a2b/3a1b(選択式),補助接点増設ユニット(ヘッドオン取付、ツイン接点4極)。適用電磁接触器:S-T65・T80/S-N38・N48/DU-N30等。端子番号はP.197参照。総合カタログ(電磁開閉器)P.192-194「8.オプションユニット」より
三菱電機,UN-AX11,option,-,-,-,可変(1a1b/2b/2a2b等),補助接点増設ユニット(サイドオン取付、ツイン接点2極)。内部配線の選択で接点構成を変更可能。適用電磁接触器:S-T65・T80/DU-N30等。端子番号はP.197参照。総合カタログ(電磁開閉器)P.192-194「8.オプションユニット」より
三菱電機,UN-AX80,option,-,-,-,1a1b,補助接点増設ユニット(サイドオン取付、ツイン接点2極)。適用電磁接触器:S-T100・S-N125・DU-N60用。端子番号はP.197参照。総合カタログ(電磁開閉器)P.192-194「8.オプションユニット」より
三菱電機,UN-AX150,option,-,-,-,1a1b,補助接点増設ユニット(サイドオン取付、ツイン接点2極)。適用電磁接触器:S-N150〜N400・DU-N120・N180・N260用。端子番号はP.197参照。総合カタログ(電磁開閉器)P.192-194「8.オプションユニット」より
三菱電機,UN-AX600,option,-,-,-,2a2b,補助接点増設ユニット(サイドオン取付、ツイン接点4極)。適用電磁接触器:S-N600AB・N800AB用。端子番号はP.197参照。総合カタログ(電磁開閉器)P.192-194「8.オプションユニット」より
三菱電機,UT-SY21,option,DC24V,15mA(入力),-,-,操作コイル用DC/ACインタフェースユニット(トップオン、トライアック出力)。交流操作の電磁接触器・継電器をDC24Vで操作可能にする。適用機種:S-T10〜T50・B-T21等。総合カタログ(電磁開閉器)P.192・P.215「8.オプションユニット」より
三菱電機,UT-SY22,option,DC24V,10mA(入力),-,-,操作コイル用DC/ACインタフェースユニット(トップオン、リレー出力)。交流操作の電磁接触器・継電器をDC24Vで操作可能にする。適用機種:S-T10〜T50・B-T21等。総合カタログ(電磁開閉器)P.192・P.215「8.オプションユニット」より
三菱電機,UN-SY11,option,DC24V,15mA(入力),-,-,操作コイル用DC/ACインタフェースユニット(単体取付用、トライアック出力)。交流操作の電磁接触器・継電器をDC24Vで操作可能にする。適用機種:S-T10〜T100・S-N125〜N400等。総合カタログ(電磁開閉器)P.192・P.215「8.オプションユニット」より
三菱電機,UN-SY12,option,DC24V,10mA(入力),-,-,操作コイル用DC/ACインタフェースユニット(単体取付用、リレー出力)。適用機種:S-T10〜T100・S-N125〜N400等。総合カタログ(電磁開閉器)P.192・P.215「8.オプションユニット」より
