三菱電機,S-2×T10,contactor,AC24V・AC48V・AC100V・AC200V・AC300V・AC400V・AC500V,11A,"正転コイル:A1,A2 / 逆転コイル:A1,A2 / 主接点:1,3,5,2,4,6 / 正転補助:13,14 / 逆転補助:13,14 / インタロック補助:R01,L01,R02,L02",1a×2+2b,可逆形(正逆転用)電磁接触器。フレームT10。正転用・逆転用の2台を機械的インタロック内蔵で一体化(補助接点+2bはUT-ML20インタロックユニット内蔵b接点)。MS-T/Nシリーズカタログ2.1機種一覧表(P.28)より。端子番号は電磁開閉器カタログp.81の接続図・接点構成図より(正転・逆転ユニットの端子記号は共通のためグループ名で区別),三菱電磁開閉器 p.81,https://drive.google.com/file/d/1WkJVca5T7HTIC3j3TFGq-PBczo4sY109/view
三菱電機,S-2×T12,contactor,AC24V・AC48V・AC100V・AC200V・AC300V・AC400V・AC500V,13A,"正転コイル:A1,A2 / 逆転コイル:A1,A2 / 主接点:1,3,5,2,4,6 / 正転補助:13,14,21,22 / 逆転補助:13,14,21,22 / インタロック補助:R01,L01,R02,L02",1a1b×2+2b,可逆形(正逆転用)電磁接触器。フレームT12。正転用・逆転用の2台を機械的インタロック内蔵で一体化(補助接点+2bはUT-ML20インタロックユニット内蔵b接点)。MS-T/Nシリーズカタログ2.1機種一覧表(P.28)より。端子番号は電磁開閉器カタログp.82の接続図・接点構成図より(正転・逆転ユニットの端子記号は共通のためグループ名で区別)。接点構成欄を電磁開閉器カタログp.82(機種一覧表p.28注10)に合わせて訂正(旧:1a×2+2b),三菱電磁開閉器 p.82,https://drive.google.com/file/d/16aEiGcSAi5ypqKaG6i4GAGS1p0gPAFcK/view
三菱電機,S-2×T20,contactor,AC24V・AC48V・AC100V・AC200V・AC300V・AC400V・AC500V,18A,"正転コイル:A1,A2 / 逆転コイル:A1,A2 / 主接点:1,3,5,2,4,6 / 正転補助:13,14,21,22 / 逆転補助:13,14,21,22 / インタロック補助:R01,L01,R02,L02",1a1b×2+2b,可逆形(正逆転用)電磁接触器。フレームT20。正転用・逆転用の2台を機械的インタロック内蔵で一体化(補助接点+2bはUT-ML20インタロックユニット内蔵b接点)。MS-T/Nシリーズカタログ2.1機種一覧表(P.28)より。端子番号は電磁開閉器カタログp.82の接続図・接点構成図より(正転・逆転ユニットの端子記号は共通のためグループ名で区別),三菱電磁開閉器 p.82,https://drive.google.com/file/d/16aEiGcSAi5ypqKaG6i4GAGS1p0gPAFcK/view
三菱電機,S-2×T21,contactor,AC24V・AC48V・AC100V・AC200V・AC300V・AC400V・AC500V,18A(20A),"正転コイル:A1,A2 / 逆転コイル:A1,A2 / 主接点:1,3,5,2,4,6 / 正転補助:13,14,21,22,43,44,31,32 / 逆転補助:13,14,21,22,43,44,31,32",2a2b×2,可逆形(正逆転用)電磁接触器。フレームT21。正転用・逆転用の2台を機械的インタロック内蔵で一体化。MS-T/Nシリーズカタログ2.1機種一覧表(P.28)より。端子番号は電磁開閉器カタログp.83の接続図・接点構成図より(正転・逆転ユニットの端子記号は共通のためグループ名で区別)。接点構成欄を電磁開閉器カタログp.83(機種一覧表p.28注10)に合わせて訂正(旧:1a1b×2+2b),三菱電磁開閉器 p.83,https://drive.google.com/file/d/1b6bjuwQ6UgEwruwJulcJgl2YsVtqpHUJ/view
三菱電機,S-2×T25,contactor,AC24V・AC48V・AC100V・AC200V・AC300V・AC400V・AC500V,26A,"正転コイル:A1,A2 / 逆転コイル:A1,A2 / 主接点:1,3,5,2,4,6 / 正転補助:13,14,21,22,43,44,31,32 / 逆転補助:13,14,21,22,43,44,31,32",2a2b×2,可逆形(正逆転用)電磁接触器。フレームT25。正転用・逆転用の2台を機械的インタロック内蔵で一体化。MS-T/Nシリーズカタログ2.1機種一覧表(P.28)より。端子番号は電磁開閉器カタログp.83の接続図・接点構成図より(正転・逆転ユニットの端子記号は共通のためグループ名で区別),三菱電磁開閉器 p.83,https://drive.google.com/file/d/1b6bjuwQ6UgEwruwJulcJgl2YsVtqpHUJ/view
三菱電機,S-2×T35,contactor,AC24V・AC48V・AC100V・AC200V・AC300V・AC400V・AC500V,34A(35A),"正転コイル:A1,A2 / 逆転コイル:A1,A2 / 主接点:1,3,5,2,4,6 / 正転補助:13,14,21,22,43,44,31,32 / 逆転補助:13,14,21,22,43,44,31,32",2a2b×2,可逆形(正逆転用)電磁接触器。フレームT35。正転用・逆転用の2台を機械的インタロック内蔵で一体化。MS-T/Nシリーズカタログ2.1機種一覧表(P.28)より。端子番号は電磁開閉器カタログp.85の接続図・接点構成図より(正転・逆転ユニットの端子記号は共通のためグループ名で区別),三菱電磁開閉器 p.85,https://drive.google.com/file/d/1SWftLtKiC3bXRd2XJRU8uHZ46dQDZGO9/view
三菱電機,S-2×T50,contactor,AC24V・AC48V・AC100V・AC200V・AC300V・AC400V・AC500V,50A,"正転コイル:A1,A2 / 逆転コイル:A1,A2 / 主接点:1,3,5,2,4,6 / 正転補助:13,14,21,22,43,44,31,32 / 逆転補助:13,14,21,22,43,44,31,32",2a2b×2,可逆形(正逆転用)電磁接触器。フレームT50。正転用・逆転用の2台を機械的インタロック内蔵で一体化。MS-T/Nシリーズカタログ2.1機種一覧表(P.28)より。端子番号は電磁開閉器カタログp.85の接続図・接点構成図より(正転・逆転ユニットの端子記号は共通のためグループ名で区別),三菱電磁開閉器 p.85,https://drive.google.com/file/d/1SWftLtKiC3bXRd2XJRU8uHZ46dQDZGO9/view
三菱電機,MSO-2×T10,starter,AC24V・AC48V・AC100V・AC200V・AC300V・AC400V・AC500V,11A,"正転コイル:A1,A2 / 逆転コイル:A1,A2 / 主接点:1,3,5,2,4,6 / 正転補助:13,14 / 逆転補助:13,14 / インタロック補助:R01,L01,R02,L02 / サーマル接点:95,96,97,98",1a×2+2b,可逆形(正逆転用)電磁開閉器(標準形2素子サーマルリレー付)。フレームT10。組合せサーマルリレーTH-T18。MS-T/Nシリーズカタログ2.1機種一覧表(P.28)より。端子番号は電磁開閉器カタログp.81の接続図・接点構成図より(正転・逆転ユニットの端子記号は共通のためグループ名で区別),三菱電磁開閉器 p.81,https://drive.google.com/file/d/1WkJVca5T7HTIC3j3TFGq-PBczo4sY109/view
三菱電機,MSO-2×T12,starter,AC24V・AC48V・AC100V・AC200V・AC300V・AC400V・AC500V,13A,"正転コイル:A1,A2 / 逆転コイル:A1,A2 / 主接点:1,3,5,2,4,6 / 正転補助:13,14,21,22 / 逆転補助:13,14,21,22 / インタロック補助:R01,L01,R02,L02 / サーマル接点:95,96,97,98",1a1b×2+2b,可逆形(正逆転用)電磁開閉器(標準形2素子サーマルリレー付)。フレームT12。組合せサーマルリレーTH-T18。MS-T/Nシリーズカタログ2.1機種一覧表(P.28)より。端子番号は電磁開閉器カタログp.82の接続図・接点構成図より(正転・逆転ユニットの端子記号は共通のためグループ名で区別)。接点構成欄を電磁開閉器カタログp.82(機種一覧表p.28注10)に合わせて訂正(旧:1a×2+2b),三菱電磁開閉器 p.82,https://drive.google.com/file/d/16aEiGcSAi5ypqKaG6i4GAGS1p0gPAFcK/view
三菱電機,MSO-2×T20,starter,AC24V・AC48V・AC100V・AC200V・AC300V・AC400V・AC500V,18A,"正転コイル:A1,A2 / 逆転コイル:A1,A2 / 主接点:1,3,5,2,4,6 / 正転補助:13,14,21,22 / 逆転補助:13,14,21,22 / インタロック補助:R01,L01,R02,L02 / サーマル接点:95,96,97,98",1a1b×2+2b,可逆形(正逆転用)電磁開閉器(標準形2素子サーマルリレー付)。フレームT20。組合せサーマルリレーTH-T25。MS-T/Nシリーズカタログ2.1機種一覧表(P.28)より。端子番号は電磁開閉器カタログp.82の接続図・接点構成図より(正転・逆転ユニットの端子記号は共通のためグループ名で区別),三菱電磁開閉器 p.82,https://drive.google.com/file/d/16aEiGcSAi5ypqKaG6i4GAGS1p0gPAFcK/view
