KEYENCE,KV-8000,,DC24V(±10%),消費電流400mA以下(KV-8000),-,-,PLC CPUユニット・KV-8000シリーズ・演算周期0.10~200.00ms・命令実行速度基本命令0.96ns・プログラム容量64MB・EtherNet/IP標準搭載(256コネクション)・種別コードに該当なし、新規種別が必要
KEYENCE,KV-7500,,DC24V(-15%/+20%),消費電流270mA以下(CPUユニット),-,-,PLC CPUユニット・KV-7000シリーズ・プログラム容量約1500kステップ・命令実行速度最小0.96ns・種別コードに該当なし、新規種別が必要
KEYENCE,KV-7300,,DC24V(-15%/+20%),消費電流270mA以下(CPUユニット),-,-,PLC CPUユニット・KV-7000シリーズ・プログラム容量約1500kステップ・種別コードに該当なし、新規種別が必要
KEYENCE,KV-5500,,DC24V(-15%/+20%),消費電流320mA以下(CPUユニット),-,-,PLC CPUユニット・KV-5000シリーズ・プログラム容量約160kステップ・拡張ユニット使用可・種別コードに該当なし、新規種別が必要
KEYENCE,KV-5000,,DC24V(-15%/+20%),消費電流320mA以下(CPUユニット),-,-,PLC CPUユニット・KV-5000シリーズ・プログラム容量約160kステップ・種別コードに該当なし、新規種別が必要
KEYENCE,KV-3000,,DC24V(-15%/+20%),消費電流320mA以下(CPUユニット),-,-,PLC CPUユニット・KV-3000シリーズ(廉価版)・プログラム容量約160kステップ・種別コードに該当なし、新規種別が必要
KEYENCE,KV-PU1,,"AC100~240V(-15%/+10%/50/60Hz)",出力容量1.8A(各種ユニットへの供給とサービス電源の合計)/内部消費電力0.96W以下,-,-,AC電源ユニット(KV-8000/KV-7000シリーズ用)・出力DC24V0.5A・エラー出力あり・種別コードに該当なし、新規種別が必要
KEYENCE,KV-U7,,"AC100~240V(±10%/50/60Hz)",出力容量1.8A(各種ユニットへの供給とサービス電源の合計)/内部消費電力135VA以下,-,-,AC電源ユニット(KV-5000/3000、KV-EB1用)・出力DC24V±10%・種別コードに該当なし、新規種別が必要
KEYENCE,KV-B16XC,,DC24Vモード(定格DC24V5.2mA)またはDC5Vモード(定格DC5V1mA),内部消費電流約120mA以下,脱着式端子台16点,入力16点(1コモン/2端子),入力ユニット・DC24Vモード/DC5Vモード選択可・種別コードに該当なし、新規種別が必要
KEYENCE,KV-C32XC,,DC24Vモード(定格DC24V5.2mA)またはDC5Vモード(定格DC5V1mA),内部消費電流約110mA以下,コネクタ(MIL規格)32点,入力32点(1コモン/2端子),入力ユニット・種別コードに該当なし、新規種別が必要
KEYENCE,KV-B16TD,,DC30V0.3A(出力定格),内部消費電流約100mA以下,脱着式端子台16点,出力16点(1コモン/2端子)・トランジスタ(シンク・過電流保護機能あり),出力ユニット・種別コードに該当なし、新規種別が必要
KEYENCE,KV-B16RC,,AC250V/DC30V2A(1a接点),内部消費電流約160mA以下,脱着式端子台16点,出力16点(1コモン/2端子)・リレー出力,出力ユニット・種別コードに該当なし、新規種別が必要
KEYENCE,KV-SIR32XT,,DC24Vモード(定格DC24V5.1mA),内部消費電流約190mA以下,コネクタ(MIL規格)32点入力+32点出力,入力32点+出力32点・出力はMOSFET(シンク・過電流保護機能あり),高速入出力ユニット(S-Unit)・入力応答2μs/出力応答1μs・種別コードに該当なし、新規種別が必要
KEYENCE,KV-AD40,,入力電圧-10~+10V(0.5mV/1/40000)等、複数レンジ選択可,内部消費電流110mA以下,ユニット-CPU間絶縁(フォトカプラ、トランス),アナログ入力4点(差動入力),アナログ入力ユニット・変換速度80μs/ch・変換精度±0.2% of F.S.(25℃±5℃)・種別コードに該当なし、新規種別が必要
KEYENCE,KV-DA40,,出力電圧-10~+10V(2.5mV/1/8000)等、複数レンジ選択可,内部消費電流230mA以下,ユニット-CPU間絶縁(フォトカプラ、トランス),アナログ出力4点,アナログ出力ユニット・種別コードに該当なし、新規種別が必要
KEYENCE,KV-TF40,,入力電圧レンジ複数選択可(熱電対K/J/T/E/N/R/S/B/W、白金測温抵抗体Pt100/JPt100),内部消費電流90mA以下,-,温度入力4点,温度調節ユニット・PID制御(オートチューニング/2自由度対応)・種別コードに該当なし、新規種別が必要
KEYENCE,KV-XLE02,,DC24Vに準ずる(CPUユニットより供給),-,RJ-45×2ポート,-,Ethernetユニット(X-Unit)・伝送速度100/1000Mbps自動切換対応・種別コードに該当なし、新規種別が必要
KEYENCE,KV-EP21V,,DC24Vに準ずる(CPUユニットより供給),-,RJ-45(EtherNet/IP対応),-,EtherNet/IPユニット(X-Unit)・種別コードに該当なし、新規種別が必要
KEYENCE,KV-XH16ML,,DC24Vに準ずる(CPUユニットより供給),内部消費電流400mA以下,MECHATROLINK-IIIコネクタ,制御軸数16軸(仮想軸含む),位置決め・モーションユニット(X-Unit)・制御周期62.5μs~(SV2シリーズ125μs/16軸)・種別コードに該当なし、新規種別が必要
KEYENCE,KV-CA02,,KV-8000に準ずる(CPUユニットより供給),内部消費電流260mA以下,カメラ専用ケーブルコネクタ×2ポート,最大4台接続(1ポート2カメラ接続),カメラ入力ユニット・ケーブル長5/10/20m・録画時間約39分・種別コードに該当なし、新規種別が必要
