三菱電機,TH-T18,thermal,-,0.12~15A,"95,96,97,98",1a1b,標準サーマルリレー(2素子付)。組合せ電磁接触器フレーム: T10,T12,T20。電磁開閉器用(単体取付不可、UT-HZ18と組合せれば単体取付可)
三菱電機,TH-T18KP,thermal,-,0.12~15A,"95,96,97,98",1a1b,過負荷・欠相保護形サーマルリレー(3素子(2E)付)。組合せ電磁接触器フレーム: T12,T20
三菱電機,TH-T25,thermal,-,0.24~22A,"95,96,97,98",1a1b,標準サーマルリレー(2素子付)。組合せ電磁接触器フレーム: T21,T25。単体取付可能
三菱電機,TH-T25KP,thermal,-,0.24~22A,"95,96,97,98",1a1b,過負荷・欠相保護形サーマルリレー(3素子(2E)付)。組合せ電磁接触器フレーム: T21,T25
三菱電機,TH-T50,thermal,-,29~42A,"95,96,97,98",1a1b,標準サーマルリレー(2素子付)。組合せ電磁接触器フレーム: T35,T50。単体取付不可
三菱電機,TH-T50KP,thermal,-,29~42A,"95,96,97,98",1a1b,過負荷・欠相保護形サーマルリレー(3素子(2E)付)。組合せ電磁接触器フレーム: T35,T50
三菱電機,TH-T65,thermal,-,15~54A,"95,96,97,98",1a1b,標準サーマルリレー(2素子付)。組合せ電磁接触器フレーム: T65,T80
三菱電機,TH-T65KP,thermal,-,15~54A,"95,96,97,98",1a1b,過負荷・欠相保護形サーマルリレー(3素子(2E)付)。組合せ電磁接触器フレーム: T65,T80
三菱電機,TH-T100,thermal,-,67~82A,"95,96,97,98",1a1b,標準サーマルリレー(2素子付)。組合せ電磁接触器フレーム: T100。単体取付不可
三菱電機,TH-T100KP,thermal,-,67~82A,"95,96,97,98",1a1b,過負荷・欠相保護形サーマルリレー(3素子(2E)付)。組合せ電磁接触器フレーム: T80,T100
三菱電機,TH-N120,thermal,-,42~105A,"95,96,97,98",1a1b,標準サーマルリレー(2素子付)。組合せ電磁接触器フレーム: N125,N150。単体取付可能
三菱電機,TH-N120KP,thermal,-,42~105A,"95,96,97,98",1a1b,過負荷・欠相保護形サーマルリレー(3素子(2E)付)。組合せ電磁接触器フレーム: N125,N150
三菱電機,TH-N120TA,thermal,-,42~125A,"95,96,97,98",1a1b,標準サーマルリレー(2素子付)。組合せ電磁接触器フレーム: N125,N150。電磁開閉器用(単体取付不可、単体取付用はTH-N120TAHZ)
三菱電機,TH-N120TAKP,thermal,-,42~125A,"95,96,97,98",1a1b,過負荷・欠相保護形サーマルリレー(3素子(2E)付)。組合せ電磁接触器フレーム: N125,N150
三菱電機,TH-N220RH,thermal,-,82~180A,"95,96,97,98",1a1b,標準サーマルリレー(2素子付)。組合せ電磁接触器フレーム: N180,N220。電磁開閉器用(単体取付不可、単体取付用はTH-N220HZ)
三菱電機,TH-N220RHKP,thermal,-,82~180A,"95,96,97,98",1a1b,過負荷・欠相保護形サーマルリレー(3素子(2E)付)。組合せ電磁接触器フレーム: N180,N220
三菱電機,TH-N400RH,thermal,-,105~330A,"95,96,97,98",1a1b,標準サーマルリレー(2素子付)。組合せ電磁接触器フレーム: N300,N400。電磁開閉器用(単体取付不可、単体取付用はTH-N400HZ)
三菱電機,TH-N400RHKP,thermal,-,105~330A,"95,96,97,98",1a1b,過負荷・欠相保護形サーマルリレー(3素子(2E)付)。組合せ電磁接触器フレーム: N300,N400
三菱電機,TH-N600,thermal,-,250~660A,"95,96,97,98",1a1b,標準サーマルリレー(2素子付)。組合せ電磁接触器フレーム: N600AB,N800AB。計器用変流器(CW-□形)と組合せ使用
三菱電機,TH-N600KP,thermal,-,250~660A,"95,96,97,98",1a1b,過負荷・欠相保護形サーマルリレー(3素子(2E)付)。組合せ電磁接触器フレーム: N600AB,N800AB。計器用変流器(CW-□形)と組合せ使用
